Genre         Category            Question            Answer
Science         Science Sense         The coloured part of a human eye is called this         iris
Science         Science Sense         This would be caused if the Earth's crust moved suddenly along a fault         earthquake
Science         Science Sense         These types of animals only eat plants         [herbivores, herbivore]
Science         Space         This Greek astronomer's model of the universe dictated our view of space for centuries         ptolemy
Science         Space         This Polish astronomer's model of the universe was very controversial and contradicted Ptolemy's accepted model         copernicus
Science         Space         This Russian cosmonaut was the first man in space         [yuri gagarin, gagarin]
Science         Space         He is reknowned for his words: "One small step for man, one giant leap for mankind"         [niel armstrong, armstrong]
Science         Space         She was the first female space shuttle commander         [eileen collins, collins]
Science         Space         In 1963, she became the first woman in space         [valentina tereshkova, tereshkova]
Science         Space         The universe is believed to have originated during this         [big bang, the big bang]
Science         Space         Pluto is classified as this         [dwarf planet, a dwarf planet]
Science         Space         The milky way is classified as a...         [barred spiral galaxy, spiral galaxy]
Science         Space         This is the largest planet in our solar system         jupiter
Science         Space         This international treaty decrees that extra-terrestrail territory cannot be owned         [OST, outer space treaty, the outer space treaty]
Other         Tallest, Fastest, or Largest         The tallest mountain in the world.         [mt. everest, everest, mount everest]
Other         Tallest, Fastest, or Largest         The tallest living thing in the world         [giant redwood tree, redwood, redwood tree]
Other         Tallest, Fastest, or Largest         The largest continent         asia
Other         Tallest, Fastest, or Largest         The world's longest snake         anaconda
Other         Tallest, Fastest, or Largest         The world's fastest sea animal         [killer whale, orca]
Other         Fun Facts         Wool comes from this animal         sheep
Other         Fun Facts         The president whose face is on the American penny         [lincoln, abraham lincoln]
Other         Fun Facts         Another name for the season fall         autumn
Other         Fun Facts         This bird is known for its beautiful tail         peacock
Other         Fun Facts         The art of Japanese paper folding         origami
Geography         World Cities         This city used to be called Edo         tokyo
Geography         World Cities         This is the world's oldest continuously inhabited city         damascus
Geography         World Cities         This is the world's northernmost capital city         reykhavik
Geography         World Cities         This city contains the most fountains         rome
Geography         World Cities         Known as "the City of Lights"         paris
Geography         World Cities         Known as the "Waltz City"         vienna
Geography         World Cities         This "City of Bridges" is also an alliterative syndrome         stockholm
Geography         World Cities         Formerly known as "Fort York"         toronto
Literature         Best-Sellers         The most sold non-fiction book of all time         [the bible, bible]
Literature         Best-Sellers         The best-selling novel of all time         valley of the dolls
Literature         Best-Sellers         With over 2 billion books sold, she is the world's best-selling fiction writer         [agatha christie, christie]
Literature         Best-Sellers         Among the 50 books with the longest time on the New York Times best-seller list is this non-fiction book about space         a brief history of time
Literature         Best-Sellers         This Pulitzer Prize winning book about racism and injustice in '30s America has spent 98 weeks on the New York Times best-seller list         to kill a mockingbird
Science         Plants         Carnivorous plants take this chemical from the dead bodies of insects and animals         nitrogen
Science         Plants         The xylem of a plant transports this         water
Science         Plants         The phloem of a plant transports this         sugar
Science         Plants         Plants produce energy through this process         photosynthesis
Science         Plants         This pigment is responsible for the green colour of plants         chlorophyll
Science         Biology         The largest artery in the human body         aorta
Science         Biology         DNA is the abbreviation of this         deoxyribonucleic acid
Science         Biology         The powerhouse of the cell         mitochondria
Science         Biology         The human body is composed of about 50-65% this         water
Science         Biology         Plant cells have this protective barrier that animal cells do not         cell wall
Science         Biology         These fruits spread their seeds by getting animals to eat them and poop them out whole, thus travelling as they digest         [avocado, avocados]
Science         Physics         The speed of a wave is dependent on this         [material, the material]
Science         Physics         His first law states that energy cannot be created or destroyed in a closed system         [Newton, Sir Isaac Newton, Isaac Newton]
Science         Physics         The type of current generated by a battery         [direct, direct current]
Science         Physics         Energy is measured in this unit         joules
Science         Physics         This physicist is Regarded as the smartest person to have ever lived         [Albert Einstein, Einstein]
Science         Chemistry         An acid-base reaction undergoes this chemical process         neutralization
Science         Chemistry         This useful number allows scientists to find the amount of something         [avogadros number, avogadro's number, avogadros, avogadro's]
Science         Chemistry         This extremely heavy element is used in nuclear reactions         uranium
Science         Chemistry         This is the smallest element         hydrogen
Science         Chemistry         Ionic compounds do this in water         dissociate
Entertainment         Dancing with the Stars         The winner of season 24 was this NFL running back         rashad jennings
Entertainment         Dancing with the Stars         The winner of season 19 was this star from The Fresh Prince of Bel-Air         alfonso ribeiro
Entertainment         Dancing with the Stars         The winner of season 23 was this olympic gymnast         laurie hernandez
Entertainment         Dancing with the Stars         He married his co-star dancer on the show         emma slater
Entertainment         Dancing with the Stars         The first ever winner of Dancing with the Stars was this actress         kelly monaco
Entertainment         Country Singers         This country music singer was married to Blake Shelton         miranda lambert
Entertainment         Country Singers         He is the son go the late baseball player Tug McGraw         tim mcgraw
Entertainment         Country Singers         This country music singer is married to Nicole Kidman         keith urban
Entertainment         Country Singers         She was the winner of American Idol in 2005         Carrie Underwood
Entertainment         Country Singers         This country music singer is a judge on The Voice         blake shelton
Entertainment         Drake         He has this many Juno Awards         3
Entertainment         Drake         He has won this many American Music Awards         6
Entertainment         Drake         The name of his first studio album was this         thank me later 
Entertainment         Drake         He played on this Canadian tv series         degrassi: the next generation
Entertainment         Drake         His first name is this         Aubrey
Entertainment         Ed Sheeran         He wrote this song for Justin Bieber’s fourth album         love yourself
Entertainment         Ed Sheeran         He was spotted by this star at The Foxxhole in 2010 while playing at an open mic         Jamie Foxx
Entertainment         Ed Sheeran         The name of his first album was this         [+, plus]
Entertainment         Ed Sheeran         He is friends with this famous pop and country singer         taylor swift
Entertainment         Ed Sheeran         He performed this song with Elton john at the 2013 Grammy Awards         the a team
Entertainment         Disney Princess Movies         This movie was the Disney’s first animated feature         snow white and the seven dwarfs
Entertainment         Disney Princess Movies         This movie is about a young prince and his servants who fall under a spell that can only be broken if he can learn to love and be loved in return         beauty and the beast
Entertainment         Disney Princess Movies         This movie is about a street rat who frees a genie from a lamp         aladdin
Entertainment         Disney Princess Movies         This movie is about a mermaid who wants to be on land         the little mermaid
Entertainment         Disney Princess Movies         This movie is about a girl who lives with her mean stepmother and stepsisters         cinderella
Entertainment         One Direction         They got this place in The X Factor         third
Entertainment         One Direction         They have won this many Teen Choice Awards         27
Entertainment         One Direction         The name of One Directions first album was this         up all night
Entertainment         One Direction         They were discovered by Simon Cowell on this tv series         the x factor
Entertainment         One Direction         This former One Direction singer left the band on March 25, 2015         zayn malik
Entertainment         Books         This book is about an orphan, clock keeper, and thief who lives in Paris         the invention of hugo cabret
Entertainment         Books         This book series is about a world-renowned chef and his super sensitive nose         neil flambe
Entertainment         Books         This non-fiction book is about a Pakistani girl who got shot by the Taliban         I am malala
Entertainment         Books         This book is about a girl’s adventures in Wonderland         alice’s adventures in wonderland
Entertainment         Books         This book series is about the adventures of a wizard and his friends at Hogwarts School of Witchcraft and Wizardry         harry potter
Entertainment         TV Shows         This tv show is about Dre Johnson and his family         black-ish                  
Entertainment         TV Shows         In this tv show Harvey Specter hires college dropout Mike Ross to be his associate         suits
Entertainment         TV Shows         This tv show is about a families life         modern family
Entertainment         TV Shows         These two best friends and roommates work at California Institute of Technology in this tv series         big bang theory
Entertainment         TV Shows         These group of friends live in the same apartment complex         friends
Entertainment         Disney Channel Movies         This group met in detention in this movie         lemonade mouth
Entertainment         Disney Channel Movies         These two surfers magically become part of a movie musical in this movie         teen beach movie
Entertainment         Disney Channel Movies         This movie is about a princess staying with a covert agent and his daughter         princess protection program
Entertainment         Disney Channel Movies         These two meet at holiday karaoke party in this movie         high school musical
Entertainment         Disney Channel Movies         This movie is about the children of famous disney characters         descendants
Entertainment         Disney Channel Movies         This movie takes place at a summer camp         camp rock
Entertainment         Music         This Canadian singer new album Illuminate was released on September 23, 2016         shawn mendes
Entertainment         Music         This British boy band is currently on a break         one direction
Entertainment         Music         This British red head singer loves cats         ed sheeran
Entertainment         Music         This singer has written songs for Selena Gomez, Justin Bieber, Fifth Harmony and many more         julia michaels
Entertainment         Music         This song sung by Luis Fonsi and Daddy Yankee featuring Justin Bieber is a mix of English and Spanish         despacito
Entertainment         James Bond         this organization is lead by Ernst Stavro Blofeld         spectre
Entertainment         James Bond         This was the first James Bond movie         dr.no
Entertainment         James Bond         He is James Bond’s American ally         [felix, felix leiter]
Entertainment         James Bond         He was said to have died in this James Bond movie         skyfall
Entertainment         James Bond         He is James Bond’s mortal enemy         [blofeld, ernst stavro blofeld]
Entertainment         Marvel         Thor's weapon of choice cannot be held unless a person is this         worthy
Entertainment         Marvel         Captain America's shield is made out of this rare fictional element         vibranium
Entertainment         Marvel         This writer has made over 15 cameos in the movie adaptations of his works         stan lee
Entertainment         Marvel         He has a school for "special" children named after him         [charles xavier, professor x]
Entertainment         Marvel         In Earth-616, she has taken up Tony Stark's old hobby, but with the alias of Iron Heart         riri williams
Entertainment         Action Movie Trivia         This former body-builder made it big as the first James Bond         [sean connery, sir sean connery]
Entertainment         Action Movie Trivia         This organization was dissolved into the CIA in its franchise's fifth installment         [the imf, imf, impossible mission force]
Entertainment         Action Movie Trivia         This actor who portrayed a street racer was killed in a car accident in 2013         paul walker
Entertainment         Action Movie Trivia         The former distric attorney of Gotham turned villain in the Dark Knight Trilogy         Harvey Dent
Entertainment         Action Movie Trivia         She will be playing the title role of the first female-led superhero film since 2005         gal gadot
Languages         French         In Canada, "lest we forget" is translated as "I remember", or this in French         je me souviens
Languages         French         The literal translation of the French "bonjour" is this         good day
Languages         French         In reality 'expectations' is this in French         [attentes, attente]
Languages         French         "Poison" in French is poison. Add another 's' and it becomes this         fish
Languages         French         "Pain" is French for this, hopefully unpainful, good         bread
